"v1","v2","v3","v4","v5","v6","v7","v8"
-4e-04,-6e-04,4e-04,8e-04,-6e-04,-6e-04,-8e-04,0.001
-0.0056,-0.0014,-6e-04,0.002,-0.002,-0.0038,-8e-04,0.003
-0.0384,-0.0016,-0.0034,0.0022,-0.0216,-0.0098,-0.0034,0.008
-0.0706,-0.000400000000000001,-0.0224,0.0022,-0.0676,-0.0364,-0.006,0.0124
-0.0846,-0.0034,-0.0628,-0.0088,-0.0644,-0.0872,-0.0076,0.00380000000000001
-0.0414,0.021,-0.08,-0.0184,-0.057,-0.079,-0.0046,-0.015
-0.0086,-0.001,-0.0696,-0.0048,-0.0318,-0.0458,0.0228,-0.014
0.056,-0.0132,-0.0264,0.0212,0.02,-0.00659999999999999,-0.00320000000000001,0.00120000000000001
0.0694,-0.000600000000000017,0.051,-0.001,0.0578,0.0418,0.0148,-0.0182
0.065,-0.002,0.0808,0.0064,0.066,0.0634,0.0256,0.0038
0.0408,0.00180000000000001,0.0762,0.0034,0.0618,0.0634,-0.0112,0.0078
0.0148,0.001,0.0408,-0.0032,0.0288,0.0682,-0.0216,0.0032
0.0032,-8e-04,0.0136,-0.0014,0.0084,0.0262,-0.0032,0.0018
4e-04,0.0012,0.0024,-6e-04,0.0022,0.0062,-8e-04,0.0012
