"v1","v2","v3","v4","v5","v6","v7","v8"
0.002,2e-04,2e-04,0.0012,8e-04,4e-04,2e-04,0.0012
0.012,0.0012,2e-04,0.0096,0.0082,0.0022,0.001,0.003
0.0426,0.0052,0.0052,0.0302,0.0464,0.0156,0.0044,0.0334
0.0872,0.0146,0.0426,0.0896,0.1084,0.0594,0.0204,0.0908
0.1144,0.0458,0.1308,0.144,0.1424,0.1146,0.039,0.1718
0.1354,0.1362,0.1338,0.1706,0.1726,0.1306,0.106,0.2248
0.1594,0.1996,0.1624,0.162,0.1876,0.1268,0.1734,0.2046
0.162,0.1394,0.1978,0.1596,0.1328,0.1308,0.2412,0.1304
0.1104,0.1652,0.1254,0.1168,0.0964,0.1506,0.2412,0.0716
0.0852,0.1584,0.085,0.074,0.0688,0.108,0.1164,0.0382
0.0562,0.0906,0.0734,0.0328,0.0278,0.0712,0.0422,0.0182
0.0264,0.0334,0.0324,0.0092,0.0068,0.061,0.0128,0.0074
0.0056,0.009,0.009,4e-04,8e-04,0.0234,0.0018,0.0034
0.0012,0.0012,0.0018,0,2e-04,0.0054,0,0.0012
