"v1","v2","v3","v4","v5","v6","v7","v8"
6e-04,0.0013,2e-04,5e-04,3e-04,7e-04,2e-04,6e-04
0.0022,0.007,0.0018,0.0021,0.0013,0.0022,8e-04,0.0069
0.0119,0.021,0.0088,0.0105,0.0102,0.0086,0.0046,0.028
0.0411,0.066,0.0399,0.0338,0.0318,0.031,0.0158,0.0982
0.103,0.1235,0.117,0.0712,0.0765,0.0809,0.0415,0.2963
0.1829,0.192,0.2207,0.1128,0.1351,0.1518,0.0871,0.2311
0.2199,0.2303,0.2443,0.1608,0.1937,0.2075,0.1552,0.1659
0.1929,0.1954,0.1897,0.214,0.1997,0.2091,0.2129,0.1075
0.1422,0.1067,0.1094,0.2302,0.1713,0.1587,0.2237,0.0471
0.0708,0.042,0.0476,0.1161,0.1098,0.0962,0.1606,0.0139
0.0272,0.0122,0.017,0.0367,0.0506,0.0405,0.0739,0.0037
0.0046,0.0021,0.003,0.0096,0.0161,0.0099,0.0188,6e-04
5e-04,3e-04,3e-04,0.0017,0.0031,0.0024,0.0041,1e-04
2e-04,2e-04,3e-04,0,5e-04,5e-04,8e-04,1e-04
