v1,v2,v3,v4,v5,v6,v7,v8
-5.0678,-4.0442,-4.3142,-9.4878,-5.0223,-4.53725,-4.8721,-4.8583
-4.3383,-3.6685,-3.4736,0,-4.5179,-4.0609,0,-4.1653
-3.8918,-3.3991,-2.9702,0,-3.94685,-3.5245,0,-3.385
-3.3977,-2.9895,-2.5133,-6.4257,-3.3703,-3.0554,-3.309,-2.9566
-2.8036,-2.5366,-1.91435,-5.7641,-2.8812,-2.56315,-2.8146,-2.35575
-2.2162,-2.0996,-1.3582,-5.16835,-2.4381,-2.1045,-2.4311,-1.77355
-1.7282,-1.7669,-0.7602,-4.2787,-1.8581,-1.6171,-1.91095,-1.2138
-1.2402,-1.3721,-0.1968,-3.518,-1.2939,-1.2123,-1.5498,-0.6098
-0.8052,-0.9533,0.3877,-2.7005,-0.87455,-0.71525,-1.07965,-0.0545
-0.2647,-0.5781,0.943,-1.8742,-0.321,-0.222,-0.6745,0.5335
0.2249,-0.1888,1.5487,-1.1025,0.19135,0.2401,-0.2238,1.1188
0.7893,0.25,2.1572,-0.3581,0.7389,0.67335,0.1903,1.6874
1.28835,0.6386,2.64275,0.4287,1.2031,1.181,0.6615,2.2885
1.7936,0.9874,3.1648,1.194,1.755,1.6011,1.1319,2.8485
2.3293,1.4082,3.8548,2.03485,2.2237,2.1236,1.5691,3.3078
2.74585,1.7966,4.24385,2.7764,2.8824,2.5544,2.00615,4.07345
3.349,2.1543,5.1926,3.6102,3.31935,3.0494,2.3965,4.5535
3.76835,2.5443,0,4.2322,3.842,3.3613,2.87235,0
4.2796,2.9442,0,5.14825,4.1913,3.9926,3.3178,5.8248
4.7717,3.4313,7.0338,6.11055,5.0466,4.6736,3.8611,6.7214
