"v1","v2","v3","v4","v5","v6","v7","v8"
7,3,1,6,1,2,2,1
11,3,0,15,4,2,1,4
19,8,1,32,3,4,7,5
18,14,8,66,8,15,13,8
33,31,13,76,7,40,29,27
78,41,13,91,20,69,63,33
104,87,31,114,37,108,107,50
109,127,47,127,62,139,127,80
104,111,66,116,130,129,126,89
101,154,137,90,133,117,102,107
98,148,126,108,159,125,103,135
95,99,148,67,159,98,100,122
70,73,132,45,119,65,66,120
61,50,129,20,81,49,58,85
34,35,86,14,38,15,39,50
26,5,37,6,22,13,24,38
20,8,13,4,10,5,20,25
8,1,9,1,1,3,7,12
3,1,2,1,4,1,4,5
1,1,1,1,2,1,2,4
