"v1","v2","v3","v4","v5","v6","v7","v8"
-5.245,-6.766,-4.55265,-6.8898,-5.0548,-5.7408,-5.35065,-3.839
-4.6061,-5.9969,-3.9992,-5.813,-4.53265,-4.7686,-4.8583,-3.2365
-4.0837,-4.7874,-3.4548,-5.33975,-4.0139,-3.9201,-4.1567,-2.6949
-3.463,-3.8375,-3.139,-4.9102,-3.5129,-3.3294,-3.813,-2.18945
-2.82735,-2.9275,-2.7662,-4.1422,-3.00545,-2.7223,-3.29655,-1.625
-2.266,-2.13295,-2.2488,-3.4865,-2.3995,-1.9514,-2.74915,-1.0649
-1.7059,-1.3041,-1.8547,-3.003,-1.767,-1.32135,-2.26095,-0.5183
-1.1363,-0.4045,-1.4327,-2.34045,-1.29705,-0.6355,-1.70775,-0.0295
-0.6093,0.4669,-0.9758,-1.81125,-0.70245,0.14325,-1.2391,0.5128
0.036,1.3629,-0.5798,-1.1452,-0.1912,0.8189,-0.72385,1.0651
0.57455,2.15845,-0.107,-0.60315,0.3941,1.4581,-0.2238,1.5385
1.15195,3.11,0.3518,-0.0068,0.9449,2.2077,0.2224,2.16275
1.66545,3.9975,0.7892,0.6155,1.36,2.9191,0.7542,2.7065
2.23095,4.8776,1.15535,1.2351,2.03225,3.55985,1.26545,3.2265
2.869,5.6489,1.519,1.80755,2.4934,4.3056,1.75275,3.77515
3.3965,6.60265,1.968,2.3095,3.2335,5.11595,2.24805,4.185
4.0806,7.4544,2.4574,2.9569,0,5.7569,2.6844,4.83545
4.5911,0,2.9988,3.6214,4.2226,6.493,3.1935,5.39
5.3006,0,0,4.0681,4.6028,7.4514,3.888,0
6.0328,10.6248,4.0054,4.73015,5.6319,8.223,4.2422,6.67725
