"v1","v2","v3","v4","v5","v6","v7","v8"
0.4939,-0.0444,2.3372,-4.1693,-0.9624,-0.3045,-1.7211,-2.037
2.4919,0.7809,1.1085,-1.1572,2.728,0.4088,-0.3696,0.9407
0.46,1.6362,-0.2138,-0.534,-0.4338,-0.0699,-0.0301,-1.9993
1.3208,3.0791,0.1383,-0.9661,0.7109,-1.7753,1.3789,-3.0992
1.3691,0.9874,-1.1337,-0.3459,0.0352,2.6317,-1.1682,-1.4441
-2.468,-0.2289,-2.5203,3.0411,-3.3273,2.6308,-2.4311,0.7533
0.726,1.3144,0.4509,-1.7021,0.0472,-0.5584,-0.715,-1.6603
1.8719,-0.972,2.4522,-1.6619,2.0698,0.4688,0.452,1.4354
2.143,1.8099,-0.5319,0.2698,3.0055,-0.2737,-0.4927,1.058
-3.3443,0.3375,-4.5185,6.319,-3.9226,3.0533,-0.715,0.7488
-0.2017,-1.2372,1.4014,0.6491,0.4504,0.1612,0.0572,2.6461
2.5835,-2.9663,4.2832,-4.721,2.0236,1.2691,0.5822,0.4747
1.7006,2.8026,-1.8479,0.481,1.2309,0.6572,-0.3891,-1.6447
0.5623,0.1614,0.8354,0.7178,1.3602,-0.3439,-0.0079,2.1525
0.4207,-1.4773,-0.08,1.0525,3.2041,-1.993,1.6037,3.2613
-0.4782,-1.5336,-0.0773,0.3245,1.7888,-2.7252,1.981,1.5208
0.2545,0.6446,-0.3908,-1.0615,-1.2056,1.5961,-1.6445,-1.6858
-1.6083,1.0638,-2.0949,2.8597,-1.5167,0.1462,-0.5881,0.3269
-1.4013,0.9014,-1.4388,2.4605,-1.7088,0.334,0.1838,-0.2612
3.8269,2.9442,0.4953,-3.1287,2.4027,0.4253,0.5863,-3.849
-0.7994,-2.9524,2.2396,-0.7577,0.8822,-2.5407,2.878,1.622
-2.5287,-0.9529,-1.8085,4.0213,0.7551,-3.706,2.4845,3.0271
-1.9281,1.1711,-1.4673,2.593,-2.2019,-0.3276,0.1949,-0.4975
0.5339,-3.0881,2.3873,-2.7961,1.0874,-0.8665,2.1054,0.0185
2.1321,0.9309,0.4009,-2.1772,1.1222,0.8856,0.0872,-2.152
-0.8402,-0.9261,-0.2377,2.301,1.0751,-1.0754,0.4379,3.4291
2.596,2.9895,-0.1946,-1.1509,1.6206,-0.1205,1.4332,-3.2713
2.6051,-1.247,3.474,-4.6694,1.6691,0.4939,0.6919,-1.2771
0.2523,-1.2734,-0.1905,2.0359,3.842,-2.8659,2.0658,4.3306
-2.99,0.002,-1.8762,2.9053,-3.9102,1.2155,-0.7554,-0.3948
0.5904,-2.6087,2.519,-1.993,0.8447,0.0979,1.1364,0.9968
-0.5175,0.9305,-1.0389,1.35,-1.1151,0.6598,0.1517,-0.8424
-2.0507,-1.7141,0.358,1.2633,-0.9007,-1.6997,1.462,1.3949
-3.9942,-0.8236,-2.1805,3.9546,-4.7849,1.7441,-1.0881,0.6146
-1.0494,2.2767,-1.6122,2.3706,-1.6387,-0.389,0.8336,-1.6426
-2.5137,0.6035,-1.6043,2.631,-3.3577,0.8036,-0.7817,-0.4334
2.3651,-2.3953,4.0005,-4.1263,1.9973,0.7181,0.8105,0.4676
0.4621,1.965,-0.2986,-0.1823,-0.635,-0.0136,0.5583,-2.4679
2.2796,1.8407,0.1693,-1.4554,0.7807,1.2694,0.6742,-2.8622
-1.5123,0.338,-1.0934,0.9056,-2.5061,1.1407,-1.6611,-0.6159
1.3212,2.0799,-0.067,-1.8787,0.8535,-0.8156,-1.1707,-1.8012
-1.805,0.2353,-1.8,1.6775,-2.0441,0.8076,-2.2121,0.5387
-2.0411,0.1446,-0.7751,0.6408,-2.1055,-0.6044,-1.9311,0.2575
2.4149,1.5612,0.938,-3.1337,0.5239,1.4235,-0.976,-2.9076
0.266,1.4244,-0.4186,0.395,-0.0472,-0.3467,0.4827,-1.1014
-1.4931,-3.7626,1.9765,-0.8161,-0.3977,-1.5081,2.3941,1.2385
0.4349,-2.3111,1.254,0.7403,3.0131,-1.2947,1.1553,4.4464
-1.147,-1.7258,0.8939,0.0196,-0.2394,-1.6097,1.7123,0.6784
-2.3452,-3.6466,0.2506,2.3202,1.541,-4.1041,3.647,4.1171
-0.4823,1.1845,-0.3257,-0.3676,-0.795,-0.8343,-1.0612,-0.9273
2.4933,1.7196,-0.3541,-1.584,1.6853,1.0599,-0.5257,-1.7893
-1.4155,-0.134,-0.1642,-0.3393,-2.3236,0.6296,-2.1573,-0.4005
1.5383,2.0482,0.0638,-2.1037,0.815,-0.3377,-1.409,-1.8765
-0.0884,1.3628,-1.3709,0.929,-0.7182,0.7237,-0.4906,-1.0852
1.6801,-0.1693,1.6739,-0.614,1.7742,1.0287,-0.5857,1.9402
-1.3447,-3.7725,2.3603,-2.2617,-0.1672,-3.12,3.8611,-0.6021
2.9251,2.7562,0.6574,-2.5398,1.7648,-0.2323,0.6451,-3.3074
0.0029,-0.6156,1.1714,0.3488,1.1094,-1.3048,0.9651,1.8275
-0.4719,-0.3787,-0.9389,2.1524,1.7888,-1.9381,1.2163,2.5
3.683,3.0534,0.2753,-2.7238,2.4864,0.5267,-0.2552,-2.9996
1.9125,2.7677,-2.079,0.7712,0.7393,2.1653,-0.5797,-1.9571
-2.1415,0.0807,-3.3585,4.3837,-2.8149,3.0494,-1.1115,0.6634
-1.6715,0.128,0.0034,-0.4285,-2.2607,-0.5621,-1.5984,-0.6709
-0.6163,-1.6559,0.0215,3.3618,3.328,-2.8967,2.0274,5.8248
2.5537,1.0158,0.5123,-3.0797,0.5378,2.5267,-1.6021,-2.5522
-1.7871,-0.3799,-1.9437,1.5912,-2.7556,2.6882,-3.2575,0.6737
-2.1335,-0.2121,-0.8045,0.6855,-3.2465,1.2261,-2.3136,-0.3019
1.5629,-0.121,2.8964,-3.1775,0.1949,0.5658,0.112,-1.3526
-0.728,-3.4533,2.7701,-1.8648,-0.2881,-1.0241,2.2804,0.5327
2.1677,2.6297,-0.0513,-1.1168,0.9598,0.3258,0.8347,-2.9767
0.7638,3.4411,-2.3806,2.5361,1.1725,0.1052,-1.6988,0.7678
-0.9135,0.7702,-1.8149,1.604,-2.1152,2.0615,-1.1654,-0.9606
1.749,2.6782,0.5902,-2.0236,0.7789,-1.0498,0.4413,-3.0644
-1.8721,0.7447,-2.1426,2.8124,-2.5198,1.3269,-1.0426,-0.0925
0.7745,0.8021,-1.5334,2.9358,2.9413,-0.3032,-0.6719,3.9183
-1.3349,0.3729,0.0283,-0.0691,-2.4343,0.3717,-1.2645,-0.9802
3.7782,2.7284,2.4298,-3.9326,0.8542,2.7665,-2.3579,-2.5415
1.9989,0.1202,1.345,-0.5107,3.3605,-0.9289,0.5173,2.2345
-1.2215,0.8402,-0.1851,0.622,-1.8364,-0.4404,-0.1868,-0.9445
-0.9882,-0.5974,-2.2844,1.5097,-2.684,4.6736,-3.4457,0.2685
1.5396,-1.6145,2.5012,-2.1131,1.2803,1.232,-0.185,1.2204
-0.9274,-0.2602,-0.2272,1.7462,1.0569,-2.8092,2.0703,1.5801
