"v1","v2","v3","v4","v5","v6","v7","v8"
-0.9991,1.7133,-1.3589,1.8273,-1.9341,0.373,0.2782,-1.6138
-3.2194,0.3375,-1.0849,1.9091,-3.0915,-1.403,-1.2242,0.2811
0.0897,1.1192,-0.3048,-0.9649,-1.5293,1.2167,-1.3733,-2.1553
0.0317,1.124,-0.4433,-0.6304,-0.5494,-0.0659,-1.1853,-1.1579
-1.1212,-0.8979,0.659,0.6852,-0.1667,-1.6086,1.1084,1.1678
3.2418,0.9531,1.4424,-5.2012,1.8077,1.1251,-2.7107,-2.2059
0.8713,1.3591,-0.3212,-0.7831,0.1986,0.3943,-0.8942,-1.2231
2.5154,-0.2123,2.7317,-4.2053,1.0256,1.1565,-0.3862,-1.7209
-2.5266,-0.6361,-2.1856,2.7418,-2.8234,1.8378,-2.3292,1.3372
-2.1415,0.0807,-3.3585,4.3837,-2.8149,3.0494,-1.1115,0.6634
2.0717,1.5817,-0.1967,-1.7931,0.2493,2.1028,-0.8056,-2.7267
-0.2281,2.493,-1.995,2.1538,-0.8956,0.4331,0.2008,-1.5118
-1.7243,0.6542,-2.1179,3.1414,-0.3695,-1.3665,0.0366,1.4496
0.1379,-0.1578,-0.2541,0.186,1.2828,-1.5079,1.0376,0.485
2.9211,2.6072,-0.4755,-1.0551,1.8647,0.8058,1.2293,-3.0048
-1.4055,-0.9416,0.6062,0.8203,-0.2484,-2.3377,2.0236,0.7334
2.448,2.2126,-0.2613,-1.1939,0.8488,1.6701,0.2422,-2.847
0.9508,1.8042,-0.2419,-0.5116,-0.8622,1.3382,0.4676,-3.0265
-1.9271,-2.2268,1.7576,-0.9234,-1.1855,-2.9533,2.9306,-0.6039
2.6431,0.9764,0.943,-3.9167,0.9342,1.6304,-1.8453,-2.4991
-2.8537,0.7337,-2.4779,4.3416,-2.2703,-0.3441,-0.3514,1.2878
2.6884,1.8594,-0.3595,-1.4192,1.6704,1.3711,-0.0942,-2.0986
-0.26,-0.9181,0.3988,0.4616,1.3529,-1.873,1.2617,1.6673
-1.4497,0.5918,-1.813,2.0377,-1.6919,0.7134,-1.1562,0.1488
-0.9968,-0.823,0.3036,-0.8536,-2.1867,1.4745,-2.0091,-0.372
1.6223,1.9994,0.5501,-2.149,0.0449,0.2448,0.1992,-3.3375
-0.6905,1.8612,-1.8282,4.3132,1.7404,-2.1938,0.2382,3.4493
1.9989,0.1202,1.345,-0.5107,3.3605,-0.9289,0.5173,2.2345
2.5842,0.3884,2.133,-3.1392,0.7559,2.5544,-1.768,-0.8494
0.4621,1.965,-0.2986,-0.1823,-0.635,-0.0136,0.5583,-2.4679
1.5016,0.5405,0.7835,-0.8531,1.5399,0.2659,-0.4114,0.5054
0.7961,-1.9255,0.7407,0.144,2.9834,-1.0146,0.9489,3.2949
0.0175,-3.209,1.9052,-1.458,1.8109,-2.0583,2.5703,1.5334
-1.7225,-0.3791,-0.6172,0.7093,-1.5314,-1.1339,0.6344,-0.625
-3.9942,-0.8236,-2.1805,3.9546,-4.7849,1.7441,-1.0881,0.6146
1.0283,-0.3792,2.0607,-2.7263,-0.3355,0.8691,-0.1823,-1.4653
2.3735,-0.5132,2.5635,-3.5884,1.3525,1.1564,-0.5077,-0.6999
-0.3177,1.4405,-2.3598,2.5183,-1.1263,1.7648,0.1906,-1.1117
-2.6398,-1.5277,-0.2473,2.3552,-1.2989,-1.806,1.5724,1.6975
1.8794,-0.3025,1.8122,-0.7783,3.5562,-1.7865,1.6054,2.0524
-0.5986,0.9482,-0.7789,0.1928,-1.1639,0.0899,-1.0637,-0.9174
-1.6083,1.0638,-2.0949,2.8597,-1.5167,0.1462,-0.5881,0.3269
2.6113,-0.1296,1.4851,-1.0212,3.5462,0.3287,-0.2826,2.3965
-2.6101,-1.6465,-0.2395,3.6399,0.0275,-2.5784,1.6985,4.0298
1.2838,2.3923,-0.1108,-0.6082,0.8713,-1.0275,0.913,-2.1639
0.0317,0.3955,-2.3269,1.4726,-0.8678,3.3439,-2.5757,0.3423
-0.8137,-0.6261,0.3503,-0.4655,-0.8845,-0.8904,1.018,-0.9601
-0.4828,-0.7638,2.0757,-1.8043,-1.264,-0.7448,0.9509,-1.3169
-2.0151,-1.1642,-0.6633,2.0327,0.1589,-3.1072,2.3098,1.488
0.3332,0.4899,0.0292,-0.814,-0.5266,0.8121,-0.9121,-0.9843
-1.0468,-2.1873,0.9033,0.0053,0.0956,-1.4555,1.6956,1.1589
-1.8358,-2.664,1.979,-0.4606,-1.4621,-1.2778,1.7654,0.6453
-4.0284,-1.8092,-0.2475,1.7267,-2.956,-3.2027,2.3267,-0.085
-2.2365,0.121,-1.7648,3.0764,-2.7319,1.1579,-0.2892,0.1974
-1.1397,-0.084,-0.9297,0.6576,-0.4747,-1.5638,0.868,-0.5001
-0.4823,1.1845,-0.3257,-0.3676,-0.795,-0.8343,-1.0612,-0.9273
1.4046,-0.1948,2.0737,-1.7853,1.2755,-0.3473,0.8843,-0.1012
1.5983,0.1375,0.2487,-2.3504,-0.4549,2.8329,-1.1055,-2.4499
2.1549,-2.4275,2.4559,-2.4452,3.5289,-0.4783,1.1681,2.1467
-0.9483,-0.5616,0.6289,-0.9823,-1.3911,-0.7423,0.3648,-1.2267
-0.7994,-2.9524,2.2396,-0.7577,0.8822,-2.5407,2.878,1.622
0.5339,-3.0881,2.3873,-2.7961,1.0874,-0.8665,2.1054,0.0185
-2.9774,0.194,-2.5483,3.3839,-3.447,1.35,-1.9562,0.6635
-2.779,-2.0338,-0.1056,2.3433,-0.899,-2.5132,2.2147,2.0377
-0.7438,-1.7394,0.7865,-0.9188,-1.1111,0.65,-0.4451,0.1875
-2.1987,-0.1312,-3.383,4.2983,-3.5018,4.1039,-1.4458,0.2878
0.8497,0.9467,0.5987,-2.1169,-0.7142,0.9433,-1.2336,-2.168
0.1958,-1.4956,-0.1293,0.6095,2.3139,-1.3972,1.0965,2.4613
0.9366,0.8526,0.9087,-2.3817,-0.3761,0.4539,-1.0739,-1.9761
