"v1","v2","v3","v4","v5","v6","v7","v8"
4,6,3,1,2,6,1,2
3,9,9,0,5,5,0,1
10,17,26,0,18,19,0,13
20,19,48,2,29,34,5,27
40,33,98,3,29,32,11,52
55,44,107,8,56,49,37,94
72,55,131,22,73,59,52,133
104,58,138,32,91,73,85,137
89,69,109,63,86,82,100,126
110,71,95,98,95,102,106,113
129,95,75,143,104,121,112,100
100,105,67,128,112,106,88,71
76,103,52,133,97,119,93,62
72,103,17,136,78,68,100,27
53,72,15,88,48,62,74,20
34,54,6,67,37,35,56,12
17,45,3,39,24,19,45,8
6,23,0,25,9,6,20,0
3,15,0,8,4,2,12,1
3,4,1,4,3,1,3,1
