"v1","v2","v3","v4","v5","v6","v7","v8"
2e-04,0,2e-04,1e-04,3e-04,1e-04,6e-04,3e-04
0.0014,3e-04,8e-04,1e-04,1e-04,3e-04,0.0025,0.0014
0.0023,6e-04,0.0034,1e-04,0.001,6e-04,0.0079,0.0067
0.0053,6e-04,0.0116,0.0022,9e-04,0.0013,0.0158,0.0261
0.0137,0.0029,0.0369,0.0081,0.0026,0.0054,0.0448,0.0624
0.0265,0.0122,0.0883,0.0256,0.0047,0.0095,0.0941,0.1117
0.0467,0.0541,0.1541,0.0559,0.0111,0.0241,0.1706,0.1295
0.0676,0.1212,0.207,0.0941,0.0223,0.0381,0.206,0.15
0.0939,0.1597,0.1892,0.134,0.0503,0.0781,0.1799,0.1648
0.1149,0.1135,0.1363,0.1493,0.0906,0.1301,0.1083,0.1755
0.1403,0.1015,0.0772,0.1461,0.1397,0.1845,0.0653,0.1127
0.1364,0.1527,0.0428,0.1239,0.1708,0.1831,0.0412,0.042
0.1313,0.1436,0.0243,0.0995,0.1861,0.1456,0.0279,0.0107
0.0965,0.0873,0.0138,0.0717,0.1436,0.1,0.0158,0.0035
0.065,0.0335,0.0084,0.0434,0.0972,0.0534,0.0105,0.0016
0.0348,0.0105,0.0039,0.0252,0.0471,0.0247,0.0059,6e-04
0.0156,0.0041,8e-04,0.0125,0.0222,0.0131,0.0018,4e-04
0.0055,0.0016,5e-04,0.0061,0.0066,0.0052,7e-04,0
0.0016,1e-04,3e-04,0.0019,0.0023,0.0023,4e-04,0
5e-04,0,2e-04,2e-04,5e-04,5e-04,0,1e-04
