"v1","v2","v3","v4","v5","v6","v7","v8"
7,1,1,2,5,3,3,4
21,2,1,3,10,7,1,2
40,1,6,9,27,33,8,17
92,7,15,28,44,86,24,41
125,34,21,46,88,165,52,137
211,29,40,87,102,215,119,244
238,77,73,113,188,316,189,349
291,88,142,148,213,316,247,355
304,148,164,212,252,303,320,366
273,193,263,269,301,245,348,291
256,235,339,325,318,190,340,196
215,289,420,325,297,186,303,157
161,336,398,373,264,143,227,139
127,354,328,265,188,101,170,87
70,285,183,163,107,90,72,54
35,229,81,88,57,48,48,33
21,118,14,26,27,29,17,17
9,49,9,16,7,18,7,5
3,20,1,0,4,3,4,3
1,5,1,2,1,3,1,3
