"v1","v2","v3","v4","v5","v6","v7","v8"
-3.4499,-3.2087,1.0852,1.2558,-0.1804,4.0838,-0.7604,1.0917
-1.9388,0.5318,1.379,-0.332,3.1011,-0.0446,-0.1311,0.859
1.6742,-0.8649,0.6967,1.2965,-0.0014,0.1468,-1.7953,0.0947
2.0151,-0.1426,1.3899,-0.4962,-0.9474,0.4643,0.2117,0.4657
0.6637,-2.102,2.1496,-0.0099,0.4095,0.4232,0.1494,-1.0836
2.0171,2.7858,-1.0296,0.055,-3.4628,0.9375,0.7744,3.3001
-0.7802,-2.4226,0.8731,-1.3404,0.2877,2.0979,-1.136,-1.0847
2.2521,-1.7963,1.9024,0.9256,-1.0158,0.5962,-0.3933,-0.2714
-0.9178,1.6272,-0.2494,-1.6734,3.743,-4.2294,1.6379,-2.7234
0.7504,1.9139,0.2385,-1.9651,0.5361,0.6342,-0.8522,1.6507
2.2568,-4.894,1.3643,5.3847,-1.8604,1.852,-3.5165,-0.4549
-1.8764,-0.3344,1.6217,-0.3958,2.9365,0.4027,-0.4184,0.3902
-1.5468,2.8705,-0.7093,0.4281,-0.0066,0.7608,0.5568,3.5699
-0.9505,-1.2496,1.1262,0.2914,1.108,1.0236,-0.7428,0.1077
-0.6936,-4.2451,2.1253,2.7747,-0.4585,3.1578,-1.8553,0.328
-3.0661,-2.4144,0.9228,1.095,-2.037,5.3492,-0.1566,2.8205
-1.8106,2.9555,-3.0024,0.9727,-1.7615,0.2833,0.958,2.7161
1.8379,-0.4144,-0.0381,1.1595,0.0499,-1.3823,-0.9462,-1.042
1.2561,1.7917,2.0334,-2.7061,1.4074,-1.9227,2.5956,-0.3634
0.6098,2.7117,-1.0395,-1.0701,1.5923,-2.4141,-0.0845,-0.0789
1.8078,0.1167,1.4515,0.6774,1.3977,-2.6702,0.7467,-1.2862
0.9129,2.2833,0.9246,0.0288,5.5507,-4.278,-1.6622,-0.8397
-1.3743,-4.6606,2.2036,1.2748,1.2633,2.1312,-1.7135,-1.6412
3.0653,4.5222,0.952,-0.9868,0.6391,-3.0517,1.8786,1.9617
0.4374,5.3834,0.946,-0.4337,5.6319,-4.6074,0.0376,1.8701
1.3277,-0.6756,1.7495,-1.1351,-0.3844,1.0645,0.0013,0.2406
0.5952,0.8599,0.3709,-1.7305,0.5505,-0.6217,0.5422,-0.3369
-1.5632,-1.2883,1.3278,-0.6192,2.0698,0.8268,-0.6032,-0.4573
2.4062,-2.2551,-0.8693,0.4262,-0.7221,0.3949,-3.7123,-2.0939
-1.0866,-2.0237,-0.5161,0.9983,-0.1594,0.2028,-0.2556,-1.6164
-2.2763,-7.8138,1.862,2.5748,-2.0256,5.7217,-2.1825,-1.4091
2.2799,-1.2918,0.2926,1.5691,-0.8313,-1.1224,-0.5566,-1.4304
1.3381,-1.2647,0.9454,0.773,0.7311,-2.0246,0.4407,-2.3049
2.6287,5.324,1.3716,-2.7728,1.7928,-4.1281,3.3134,1.1788
0.1401,-2.7987,1.0116,-0.4325,-0.0551,0.2746,0.1826,-2.5258
1.1454,0.3822,0.3769,2.1963,-3.6312,2.1664,0.7934,3.3605
-0.6085,-0.5344,1.7486,0.7319,3.1087,-0.6516,-1.0485,-0.1125
-1.1506,0.767,-1.4633,-1.5586,2.224,-2.2388,-0.0168,-2.3139
1.0357,-0.5502,1.4051,-0.814,0.1348,0.2271,0.1461,-0.2901
0.6373,1.1326,0.3713,-1.4738,1.4944,-2.1929,1.0607,-1.2409
1.4357,0.214,1.1687,-1.3954,0.7632,0.9632,-1.8153,0.7665
4.1567,4.3768,-1.8289,-2.7479,-0.347,-3.3755,-0.1767,-0.2685
-1.8526,-2.1466,1.9363,0.6343,2.4362,1.0109,-0.9168,-0.3722
-0.9888,-1.8939,-2.1284,4.1139,-1.6208,0.8013,-1.9038,-0.0408
-0.6834,1.031,0.6012,1.6087,2.9645,-0.9917,-1.5606,1.25
-0.3296,-1.1686,-0.5829,1.3383,-2.3145,3.2473,-1.7334,1.9434
-1.331,-0.738,1.5457,0.007,2.7119,0.2915,-0.8907,0.0459
-3.0215,-6.2366,2.4703,1.5393,-1.3521,5.8304,-0.9992,0.0264
2.164,1.3066,-1.3165,1.0648,-3.0639,1.0829,-1.0591,2.29
1.9174,-1.3282,2.3187,0.1233,-0.6278,0.167,0.7811,-0.3904
-0.3918,4.5148,0.5798,-0.5026,4.75,-3.1845,-0.1661,2.0003
0.5703,-0.5284,-0.6165,0.7569,0.8482,-2.1399,-0.3032,-2.1792
5.1212,8.7003,0.4931,-0.0216,2.1114,-7.9225,3.5669,2.5101
2.5634,-1.6535,1.6904,0.7488,-1.1298,-0.3063,0.3114,-1.0422
0.5096,-2.5299,0.9205,3.1629,0.5476,0.7872,-2.7541,-0.1029
-2.0114,-3.1467,2.1667,1.8644,1.3543,2.4795,-1.4147,0.4886
-0.3974,3.557,-1.8577,-2.4501,1.886,-1.7444,-0.4156,0.4161
-4.2393,-0.3064,-2.3581,2.1716,-1.1154,2.9811,-0.8465,2.421
1.7668,-0.1924,1.8886,-1.3433,-0.6559,0.0208,1.4143,-0.1951
-0.372,-0.21,2.1414,1.695,3.2583,-1.0061,-0.8831,0.5252
1.6705,3.1212,-2.8598,-2.154,-0.7519,-1.5725,-0.7124,-0.1195
2.2847,3.7672,-0.6335,2.0056,1.9392,-2.7223,-2.2322,2.3818
0.3605,-2.2558,0.9571,1.8288,0.7596,0.7951,-2.3445,-0.4423
-0.6648,-0.8343,1.432,1.6441,1.4512,0.7436,-1.162,1.0631
2.3265,3.1749,2.3179,-2.002,1.2234,-2.7993,3.1242,0.7631
