"v1","v2","v3","v4","v5","v6","v7","v8"
0,0.006,0.002,0,0.002,0.004,0.004,0.004
0.008,0.004,0,0,0.004,0,0,0.002
0.004,0.016,0.01,0,0.014,0.002,0.008,0.01
0.016,0.014,0.03,0,0.01,0.008,0.016,0.018
0.024,0.024,0.016,0,0.02,0.042,0.026,0.036
0.02,0.046,0.062,0,0.038,0.05,0.058,0.048
0.082,0.066,0.098,0.006,0.038,0.074,0.1,0.098
0.114,0.116,0.138,0.022,0.078,0.124,0.108,0.102
0.116,0.104,0.144,0.066,0.12,0.11,0.126,0.146
0.104,0.106,0.168,0.108,0.106,0.112,0.11,0.168
0.12,0.142,0.154,0.124,0.124,0.144,0.084,0.148
0.132,0.102,0.106,0.158,0.126,0.108,0.116,0.078
0.084,0.084,0.054,0.164,0.116,0.096,0.066,0.054
0.066,0.064,0.012,0.134,0.104,0.052,0.05,0.038
0.044,0.044,0.006,0.11,0.046,0.028,0.06,0.032
0.028,0.026,0,0.064,0.016,0.016,0.026,0.01
0.022,0.022,0,0.024,0.02,0.014,0.018,0.002
0.012,0.004,0,0.01,0.01,0.008,0.016,0.006
0.002,0.008,0,0.008,0.002,0.004,0.002,0
0.002,0.002,0,0.002,0.006,0.004,0.006,0
