"v1","v2","v3","v4","v5","v6","v7","v8"
4e-04,2e-04,2e-04,0,8e-04,3e-04,1e-04,9e-04
8e-04,6e-04,0,2e-04,6e-04,8e-04,7e-04,0.0026
0.0014,0.0022,7e-04,8e-04,0.0038,0.0024,0.002,0.0108
0.0051,0.0021,0.0037,0.0042,0.0082,0.0061,0.0043,0.0345
0.0112,0.009,0.0125,0.0101,0.0133,0.0148,0.013,0.0721
0.0259,0.0202,0.0255,0.0278,0.0264,0.0309,0.0289,0.1229
0.0446,0.0491,0.0489,0.0549,0.041,0.0486,0.0537,0.1442
0.0701,0.0776,0.086,0.0883,0.0592,0.0741,0.0863,0.1588
0.0977,0.0964,0.1127,0.1152,0.0835,0.1247,0.1137,0.1333
0.1209,0.1025,0.1472,0.1378,0.108,0.2118,0.1297,0.1165
0.1452,0.0999,0.16,0.1523,0.1344,0.2204,0.1413,0.0852
0.1444,0.1202,0.1411,0.1393,0.1504,0.1434,0.1365,0.0553
0.1261,0.1307,0.1137,0.1085,0.136,0.0622,0.1183,0.0308
0.0945,0.1219,0.0704,0.0763,0.1099,0.0335,0.0784,0.0189
0.0585,0.0894,0.0449,0.0454,0.0738,0.015,0.0484,0.0077
0.0316,0.0499,0.0187,0.0243,0.0316,0.0066,0.0266,0.0031
0.0145,0.0193,0.0085,0.01,0.0134,0.003,0.0109,0.0018
0.0057,0.0068,0.003,0.0035,0.0041,8e-04,0.0052,3e-04
0.0012,0.0016,0.0016,0.001,0.0013,5e-04,0.0013,1e-04
2e-04,4e-04,7e-04,1e-04,3e-04,1e-04,7e-04,2e-04
