"v1","v2","v3","v4","v5","v6","v7","v8"
1,-3,-2,2,1,-4,1,-1
1,-7,-9,4,1,-5,0,1
2,-9,-26,13,-14,-18,4,-8
-12,-12,-43,24,-21,-30,3,-25
-28,-21,-91,34,-14,-11,3,-44
-17,-21,-95,32,-37,-24,-8,-73
-19,-22,-123,23,-45,-22,-2,-112
-56,0,-114,20,-39,-11,-31,-96
-35,-17,-77,-13,-29,-27,-37,-77
-55,-18,-61,-35,-35,-46,-52,-59
-75,-24,-16,-100,-59,-49,-68,-25
-56,-54,-9,-78,-49,-52,-32,-11
-40,-61,8,-104,-46,-71,-60,-2
-40,-71,42,-116,-31,-42,-74,3
-36,-50,41,-77,-28,-48,-45,6
-24,-41,33,-59,-29,-27,-43,6
-5,-34,29,-38,-17,-12,-36,6
-1,-21,10,-22,-5,-2,-12,7
-3,-11,1,-7,-4,0,-11,2
-2,-3,2,-3,0,1,0,2
