"v1","v2","v3","v4","v5","v6","v7","v8"
2e-04,2e-04,0,-1e-04,5e-04,2e-04,-5e-04,6e-04
-6e-04,3e-04,-8e-04,1e-04,5e-04,5e-04,-0.0018,0.0012
-9e-04,0.0016,-0.0027,7e-04,0.0028,0.0018,-0.0059,0.0041
-2e-04,0.0015,-0.0079,0.002,0.0073,0.0048,-0.0115,0.0084
-0.0025,0.0061,-0.0244,0.002,0.0107,0.0094,-0.0318,0.0097
-6e-04,0.008,-0.0628,0.0022,0.0217,0.0214,-0.0652,0.0112
-0.0021,-0.005,-0.1052,-0.001,0.0299,0.0245,-0.1169,0.0147
0.0025,-0.0436,-0.121,-0.0058,0.0369,0.036,-0.1197,0.0088
0.0038,-0.0633,-0.0765,-0.0188,0.0332,0.0466,-0.0662,-0.0315
0.00599999999999999,-0.011,0.0109,-0.0115,0.0174,0.0817,0.0214,-0.059
0.00489999999999999,-0.0016,0.0828,0.00619999999999998,-0.0053,0.0359,0.076,-0.0275
0.00800000000000001,-0.0325,0.0983,0.0154,-0.0204,-0.0397,0.0953,0.0133
-0.00520000000000001,-0.0129,0.0894,0.00899999999999999,-0.0501,-0.0834,0.0904,0.0201
-0.002,0.0346,0.0566,0.00460000000000001,-0.0337,-0.0665,0.0626,0.0154
-0.0065,0.0559,0.0365,0.002,-0.0234,-0.0384,0.0379,0.0061
-0.00319999999999999,0.0394,0.0148,-0.000900000000000001,-0.0155,-0.0181,0.0207,0.0025
-0.0011,0.0152,0.0077,-0.0025,-0.0088,-0.0101,0.0091,0.0014
0.000200000000000001,0.0052,0.0025,-0.0026,-0.0025,-0.0044,0.0045,3e-04
-4e-04,0.0015,0.0013,-9e-04,-0.001,-0.0018,9e-04,1e-04
-3e-04,4e-04,5e-04,-1e-04,-2e-04,-4e-04,7e-04,1e-04
