"v1","v2","v3","v4","v5","v6","v7","v8"
0.0024,0,0,4e-04,8e-04,0.0012,0,0
0.006,4e-04,0,8e-04,0.0032,0.0032,0.0016,0.002
0.0148,8e-04,0.0016,0.0024,0.0088,0.012,0.002,0.0084
0.0264,0.0028,0.0036,0.0052,0.0136,0.0328,0.0104,0.0208
0.0468,0.008,0.0064,0.012,0.0236,0.0672,0.0248,0.0508
0.0668,0.0144,0.0168,0.0268,0.0508,0.118,0.0452,0.1048
0.0944,0.0268,0.0296,0.0404,0.0772,0.128,0.0792,0.1516
0.1152,0.0372,0.042,0.0584,0.0764,0.1308,0.1012,0.1592
0.116,0.0456,0.064,0.0752,0.0932,0.1132,0.1292,0.1428
0.1216,0.074,0.0956,0.096,0.1092,0.09,0.1504,0.0984
0.1072,0.0848,0.1272,0.1296,0.1088,0.0972,0.1372,0.072
0.0928,0.116,0.1756,0.1404,0.1192,0.0684,0.1224,0.0616
0.0768,0.14,0.188,0.152,0.1216,0.0564,0.09,0.044
0.0492,0.1432,0.1372,0.1264,0.09,0.0364,0.0592,0.0332
0.0316,0.1348,0.0724,0.0788,0.0524,0.024,0.0276,0.0188
0.0184,0.0916,0.0284,0.0364,0.0308,0.0132,0.0128,0.0156
0.0088,0.05,0.0084,0.012,0.0124,0.0048,0.0052,0.0092
0.004,0.02,0.0028,0.0044,0.0056,0.0024,0.0016,0.0044
4e-04,0.0076,4e-04,0.0024,0.0016,4e-04,0,0.0012
4e-04,0.002,0,0,8e-04,4e-04,0,0.0012
