"v1","v2","v3","v4","v5","v6","v7","v8"
0.0012,-4e-04,-4e-04,0,-4e-04,0,-0.0012,-0.0016
0,-4e-04,-4e-04,4e-04,0,4e-04,0.0012,0.0012
0.0016,4e-04,-8e-04,0,0.0016,-0.0032,-0.0012,0.0016
-0.004,0,-0.0024,4e-04,-0.0012,-0.0096,8e-04,0.0044
0.002,-0.0056,-0.002,-0.0024,-0.0044,-0.0044,0.004,-0.004
-0.0076,0.0028,0.000799999999999999,0.002,0.01,0.0176,-0.00240000000000001,0.0072
-0.00360000000000001,-0.004,0.000400000000000001,0.002,0.0168,-0.00120000000000001,0.00360000000000001,0.012
0.000799999999999995,0.00199999999999999,-0.0148,0.0052,-0.00800000000000001,-0.002,0.0024,0.0172
-0.01,-0.0136,-0.0016,-0.0052,-0.00799999999999999,-0.00280000000000001,0.00120000000000001,-0.00359999999999999
0.0164,-0.00320000000000001,-0.0096,-0.00319999999999999,-0.00799999999999999,-0.0112,0.0112,-0.018
-0.00319999999999999,-0.0092,-0.00839999999999999,0.00599999999999999,-0.026,0.0328,0.00119999999999998,-0.0064
0.00119999999999999,0.000400000000000011,0.0076,0.00239999999999999,-0.0024,-0.0096,0.00119999999999999,-0.00119999999999999
0.00679999999999999,0.00560000000000002,0.0288,0.004,0.0068,0.0048,-0.000800000000000009,-0.0116
-0.0016,0.00159999999999999,0.00599999999999998,-0.00839999999999999,0.00799999999999999,-0.0012,-0.0088,-0.0016
-0.0012,0.0208,-0.000799999999999995,0.0024,0.0068,-0.0056,-0.0012,-0.0028
0.0016,0,-0.004,-0.0032,0.0056,-0.000399999999999999,-0.0064,0.0024
0.000400000000000001,0.0028,0.0028,-0.0012,-0.000400000000000001,-0.004,-0.0016,0.0024
0,0.000400000000000001,-8e-04,-0.002,0.0032,0,-0.0012,0.0024
-8e-04,-4e-04,0,0.0016,-4e-04,-4e-04,-0.0016,0
0,0,-4e-04,-8e-04,4e-04,0,-4e-04,0
