"v1","v2","v3","v4","v5","v6","v7","v8"
-8e-04,-0.002,-0.0014,-4e-04,2e-04,8e-04,0,0.0018
-0.0012,-0.0196,-0.0084,-0.0028,-4e-04,0.003,-0.005,0.0096
-0.0058,-0.0722,-0.0388,-0.0148,0,0.0202,-0.0194,0.0434
-0.0346,-0.1206,-0.1066,-0.0508,0.0342,0.0486,-0.0546,0.0818
-0.0722,-0.1292,-0.1138,-0.102,0.0972,0.0748,-0.0802,0.0884
-0.0998,-0.0976,-0.0194,-0.093,0.0946,0.0748,-0.1004,0.03
-0.052,0.0216,0.0246,-0.0186,0.0428,0.0234,-0.0106,0.0126
0.0104,0.1598,0.0166,0.0238,-0.058,-0.0572,0.2018,0.017
0.0458,0.1608,0.0554,0.0278,-0.0926,-0.0796,0.0918,-0.0652
0.079,0.076,0.0802,0.0924,-0.0656,-0.0686,0.00460000000000002,-0.117
0.0696,0.02,0.0734,0.0994,-0.0368,-0.028,-0.0182,-0.0772
0.0404,0.0028,0.0276,0.033,-0.0122,-0.01,-0.0078,-0.0192
0.018,0,0.0088,0.005,-0.002,-0.0016,-0.0016,-0.0052
0.0032,2e-04,0.0018,0.001,-0.0014,-6e-04,-4e-04,-8e-04
