"v1","v2","v3","v4","v5","v6","v7","v8"
0.001,0.0024,0.0022,8e-04,6e-04,2e-04,2e-04,2e-04
0.002,0.0242,0.012,0.0042,0.0062,0.0024,0.0058,0.0016
0.0102,0.0966,0.0564,0.0194,0.0236,0.01,0.0238,0.0054
0.0552,0.1558,0.1624,0.0642,0.0624,0.0466,0.0656,0.0236
0.1394,0.1794,0.2102,0.133,0.1208,0.1396,0.1002,0.0762
0.2114,0.2056,0.1488,0.172,0.1636,0.1974,0.1338,0.1484
0.1828,0.191,0.1252,0.1834,0.1644,0.1774,0.134,0.1776
0.1498,0.0984,0.129,0.1782,0.1664,0.1574,0.1508,0.1266
0.1312,0.0378,0.0924,0.1452,0.136,0.125,0.1618,0.1446
0.0696,0.008,0.045,0.0696,0.09,0.0902,0.1266,0.1646
0.0352,6e-04,0.0116,0.0232,0.0464,0.0386,0.072,0.0974
0.0102,2e-04,0.004,0.0048,0.015,0.0124,0.0202,0.0266
0.0012,0,6e-04,0.0018,0.003,0.0022,0.0044,0.0064
8e-04,0,2e-04,2e-04,0.0016,6e-04,8e-04,8e-04
