"v1","v2","v3","v4","v5","v6","v7","v8"
2e-04,4e-04,8e-04,4e-04,8e-04,0.001,2e-04,0.002
8e-04,0.0046,0.0036,0.0014,0.0058,0.0054,8e-04,0.0112
0.0044,0.0244,0.0176,0.0046,0.0236,0.0302,0.0044,0.0488
0.0206,0.0352,0.0558,0.0134,0.0966,0.0952,0.011,0.1054
0.0672,0.0502,0.0964,0.031,0.218,0.2144,0.02,0.1646
0.1116,0.108,0.1294,0.079,0.2582,0.2722,0.0334,0.1784
0.1308,0.2126,0.1498,0.1648,0.2072,0.2008,0.1234,0.1902
0.1602,0.2582,0.1456,0.202,0.1084,0.1002,0.3526,0.1436
0.177,0.1986,0.1478,0.173,0.0434,0.0454,0.2536,0.0794
0.1486,0.084,0.1252,0.162,0.0244,0.0216,0.1312,0.0476
0.1048,0.0206,0.085,0.1226,0.0096,0.0106,0.0538,0.0202
0.0506,0.003,0.0316,0.0378,0.0028,0.0024,0.0124,0.0074
0.0192,0,0.0094,0.0068,0.001,6e-04,0.0028,0.0012
0.004,2e-04,0.002,0.0012,2e-04,0,4e-04,0
